country,all_connected_pct,male_connected_pct,female_connected_pct,all_lonely_pct,male_lonely_pct,female_lonely_pct,gender_gap_lonely,year,source,source_url
Japan,89,88,90,17,19,16,-3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Jordan,66,62,70,26,23,29,6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Kazakhstan,71,70,71,10,10,10,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Kenya,76,77,75,47,46,48,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Kosovo,93,93,94,24,25,23,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Kuwait,69,69,67,31,37,20,-17,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Kyrgyzstan,80,85,76,8,6,9,3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Lao People's Democratic Republic,56,57,54,19,18,21,3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Latvia,69,70,69,7,6,7,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Lebanon,77,75,80,23,19,26,7,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Lesotho,75,77,72,58,62,55,-7,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Liberia,69,66,73,45,39,50,11,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Libya,65,61,69,26,29,24,-5,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Lithuania,68,66,70,13,11,14,3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Luxembourg,76,78,74,11,9,13,4,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Madagascar,50,50,51,46,47,45,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Malawi,51,51,50,42,43,41,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Malaysia,64,67,62,14,16,13,-3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Mali,68,69,66,20,20,20,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Malta,72,71,74,11,9,13,4,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Mauritania,69,69,70,42,45,40,-5,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
